type_of_water_source,town_name,province_name,location_type,number_of_people_served,time_in_queue,results
tap_in_home,Serowe,Hawassa,Urban,558,0,
shared_tap,Rural,Kilimani,Rural,660,18,
well,Isiqalo,Kilimani,Urban,304,0,Contaminated: Biological
well,Isiqalo,Kilimani,Urban,312,0,Contaminated: Chemical
tap_in_home_broken,Zuri,Kilimani,Urban,884,0,
well,Rural,Akatsi,Rural,230,0,Contaminated: Chemical
river,Rural,Sokoto,Rural,734,13,
shared_tap,Rural,Sokoto,Rural,454,17,
tap_in_home,Rural,Kilimani,Rural,996,0,
tap_in_home_broken,Pwani,Amanzi,Urban,628,0,
well,Rural,Kilimani,Rural,324,0,Contaminated: Biological
tap_in_home,Dahabu,Amanzi,Urban,442,0,
tap_in_home,Isiqalo,Kilimani,Urban,672,0,
shared_tap,Rural,Sokoto,Rural,2620,212,
well,Harare,Akatsi,Urban,372,0,Contaminated: Chemical
tap_in_home,Rural,Amanzi,Rural,658,0,
well,Amara,Kilimani,Urban,392,0,Contaminated: Biological
tap_in_home_broken,Rural,Kilimani,Rural,908,0,
well,Mrembo,Kilimani,Urban,164,0,Contaminated: Biological
shared_tap,Rural,Kilimani,Rural,1854,24,
tap_in_home_broken,Rural,Amanzi,Rural,336,0,
shared_tap,Mrembo,Kilimani,Urban,3878,30,
well,Rural,Hawassa,Rural,192,0,Contaminated: Biological
well,Rural,Sokoto,Rural,246,0,Contaminated: Biological
tap_in_home,Rural,Amanzi,Rural,430,0,
well,Rural,Sokoto,Rural,188,0,Clean
well,Harare,Kilimani,Urban,310,0,Contaminated: Chemical
well,Rural,Amanzi,Rural,324,0,Clean
tap_in_home,Lusaka,Akatsi,Urban,752,0,
shared_tap,Zuri,Kilimani,Urban,1366,122,
tap_in_home_broken,Kintampo,Akatsi,Urban,814,0,
well,Rural,Sokoto,Rural,242,0,Contaminated: Chemical
shared_tap,Rural,Kilimani,Rural,1884,159,
well,Rural,Amanzi,Rural,320,0,Clean
well,Marang,Sokoto,Urban,302,0,Contaminated: Chemical
river,Rural,Hawassa,Rural,836,20,
well,Ilanga,Sokoto,Urban,250,0,Clean
tap_in_home_broken,Rural,Kilimani,Rural,734,0,
well,Mrembo,Kilimani,Urban,258,0,Clean
river,Bahari,Sokoto,Urban,436,22,
river,Rural,Sokoto,Rural,496,26,
well,Rural,Kilimani,Rural,210,0,Contaminated: Biological
tap_in_home,Rural,Kilimani,Rural,534,0,
well,Rural,Sokoto,Rural,308,0,Clean
river,Kofi,Sokoto,Urban,918,19,
well,Rural,Akatsi,Rural,192,0,Clean
tap_in_home,Isiqalo,Kilimani,Urban,734,0,
well,Rural,Hawassa,Rural,284,0,Contaminated: Biological
well,Rural,Sokoto,Rural,370,0,Contaminated: Chemical
shared_tap,Rural,Sokoto,Rural,2830,29,
tap_in_home_broken,Asmara,Amanzi,Urban,338,0,
tap_in_home_broken,Rural,Amanzi,Rural,958,0,
shared_tap,Lusaka,Akatsi,Urban,3108,240,
well,Majengo,Sokoto,Urban,316,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,256,0,Contaminated: Chemical
tap_in_home_broken,Harare,Kilimani,Urban,456,0,
river,Rural,Kilimani,Rural,574,27,
well,Cheche,Sokoto,Urban,164,0,Contaminated: Chemical
shared_tap,Rural,Akatsi,Rural,1964,25,
tap_in_home,Dahabu,Amanzi,Urban,402,0,
tap_in_home,Harare,Kilimani,Urban,944,0,
tap_in_home_broken,Rural,Amanzi,Rural,788,0,
shared_tap,Rural,Hawassa,Rural,3828,30,
well,Asmara,Amanzi,Urban,294,0,Clean
river,Rural,Kilimani,Rural,858,25,
tap_in_home_broken,Rural,Sokoto,Rural,878,0,
tap_in_home,Harare,Akatsi,Urban,718,0,
well,Rural,Kilimani,Rural,348,0,Contaminated: Chemical
tap_in_home_broken,Rural,Sokoto,Rural,402,0,
shared_tap,Asmara,Amanzi,Urban,298,44,
shared_tap,Majengo,Sokoto,Urban,3236,240,
well,Harare,Kilimani,Urban,368,0,Contaminated: Biological
well,Rural,Akatsi,Rural,162,0,Clean
shared_tap,Rural,Akatsi,Rural,2272,187,
well,Rural,Amanzi,Rural,336,0,Clean
well,Rural,Kilimani,Rural,328,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,310,0,Contaminated: Biological
well,Serowe,Hawassa,Urban,382,0,Clean
shared_tap,Rural,Kilimani,Rural,2258,186,
shared_tap,Rural,Akatsi,Rural,2194,26,
well,Rural,Akatsi,Rural,210,0,Clean
well,Rural,Akatsi,Rural,210,0,Contaminated: Chemical
tap_in_home_broken,Rural,Hawassa,Rural,560,0,
well,Rural,Kilimani,Rural,184,0,Contaminated: Biological
tap_in_home,Rural,Amanzi,Rural,414,0,
tap_in_home_broken,Rural,Amanzi,Rural,740,0,
tap_in_home,Abidjan,Amanzi,Urban,480,0,
shared_tap,Rural,Amanzi,Rural,3768,240,
shared_tap,Bello,Amanzi,Urban,2850,229,
well,Isiqalo,Kilimani,Urban,188,0,Clean
shared_tap,Rural,Sokoto,Rural,2340,192,
well,Kintampo,Akatsi,Urban,250,0,Contaminated: Biological
river,Rural,Sokoto,Rural,440,20,
tap_in_home,Marang,Sokoto,Urban,592,0,
well,Marang,Sokoto,Urban,348,0,Contaminated: Chemical
tap_in_home,Rural,Hawassa,Rural,752,0,
tap_in_home,Rural,Akatsi,Rural,860,0,
river,Rural,Sokoto,Rural,736,21,
well,Rural,Akatsi,Rural,264,0,Contaminated: Chemical
shared_tap,Amina,Amanzi,Urban,844,84,
well,Rural,Hawassa,Rural,276,0,Contaminated: Chemical
well,Majengo,Sokoto,Urban,382,0,Contaminated: Biological
well,Rural,Kilimani,Rural,178,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,174,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,274,0,Contaminated: Biological
river,Rural,Akatsi,Rural,536,10,
well,Rural,Hawassa,Rural,198,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,370,0,Clean
tap_in_home,Rural,Kilimani,Rural,730,0,
well,Rural,Hawassa,Rural,182,0,Contaminated: Biological
tap_in_home,Ilanga,Sokoto,Urban,380,0,
tap_in_home_broken,Rural,Hawassa,Rural,996,0,
shared_tap,Rural,Sokoto,Rural,2888,232,
tap_in_home_broken,Rural,Kilimani,Rural,726,0,
well,Rural,Sokoto,Rural,378,0,Contaminated: Chemical
well,Pwani,Amanzi,Urban,312,0,Clean
tap_in_home,Dahabu,Amanzi,Urban,678,0,
river,Rural,Sokoto,Rural,602,15,
well,Rural,Akatsi,Rural,300,0,Contaminated: Chemical
well,Rural,Sokoto,Rural,166,0,Contaminated: Biological
well,Rural,Kilimani,Rural,346,0,Contaminated: Chemical
river,Rural,Sokoto,Rural,710,14,
tap_in_home,Rural,Amanzi,Rural,882,0,
well,Rural,Hawassa,Rural,388,0,Contaminated: Biological
well,Isiqalo,Kilimani,Urban,236,0,Contaminated: Chemical
tap_in_home,Pwani,Amanzi,Urban,700,0,
well,Rural,Hawassa,Rural,386,0,Contaminated: Chemical
well,Amina,Amanzi,Urban,198,0,Clean
well,Djenne,Hawassa,Urban,248,0,Contaminated: Biological
tap_in_home_broken,Amina,Amanzi,Urban,822,0,
well,Rural,Sokoto,Rural,168,0,Contaminated: Chemical
shared_tap,Rural,Sokoto,Rural,542,62,
tap_in_home,Rural,Amanzi,Rural,750,0,
tap_in_home_broken,Rural,Amanzi,Rural,364,0,
tap_in_home,Rural,Sokoto,Rural,394,0,
well,Rural,Amanzi,Rural,194,0,Clean
well,Rural,Sokoto,Rural,244,0,Contaminated: Biological
tap_in_home,Rural,Hawassa,Rural,882,0,
well,Mrembo,Kilimani,Urban,260,0,Contaminated: Chemical
shared_tap,Dahabu,Amanzi,Urban,520,60,
tap_in_home,Rural,Amanzi,Rural,940,0,
tap_in_home,Rural,Hawassa,Rural,646,0,
tap_in_home_broken,Deka,Hawassa,Urban,472,0,
well,Mrembo,Kilimani,Urban,352,0,Contaminated: Biological
tap_in_home_broken,Lusaka,Akatsi,Urban,716,0,
well,Cheche,Sokoto,Urban,294,0,Contaminated: Chemical
tap_in_home,Rural,Akatsi,Rural,620,0,
well,Rural,Akatsi,Rural,180,0,Clean
well,Marang,Sokoto,Urban,166,0,Contaminated: Chemical
well,Rural,Sokoto,Rural,304,0,Contaminated: Biological
well,Rural,Hawassa,Rural,254,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,366,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,338,0,Clean
river,Mrembo,Kilimani,Urban,402,25,
well,Rural,Akatsi,Rural,288,0,Contaminated: Chemical
tap_in_home,Isiqalo,Kilimani,Urban,958,0,
well,Rural,Akatsi,Rural,308,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,206,0,Contaminated: Chemical
shared_tap,Asmara,Amanzi,Urban,1882,159,
tap_in_home,Rural,Akatsi,Rural,392,0,
tap_in_home,Rural,Amanzi,Rural,410,0,
tap_in_home,Amara,Kilimani,Urban,630,0,
tap_in_home_broken,Rural,Sokoto,Rural,794,0,
well,Amara,Kilimani,Urban,336,0,Contaminated: Biological
tap_in_home,Amina,Hawassa,Urban,326,0,
tap_in_home,Rural,Amanzi,Rural,918,0,
tap_in_home_broken,Rural,Hawassa,Rural,508,0,
well,Rural,Akatsi,Rural,188,0,Clean
tap_in_home_broken,Rural,Sokoto,Rural,954,0,
river,Serowe,Hawassa,Urban,808,9,
well,Rural,Amanzi,Rural,380,0,Clean
well,Rural,Akatsi,Rural,312,0,Contaminated: Chemical
tap_in_home_broken,Mrembo,Kilimani,Urban,510,0,
tap_in_home,Rural,Amanzi,Rural,468,0,
river,Rural,Hawassa,Rural,962,9,
well,Rural,Akatsi,Rural,206,0,Clean
well,Kofi,Sokoto,Urban,304,0,Contaminated: Chemical
tap_in_home,Ilanga,Sokoto,Urban,750,0,
tap_in_home,Asmara,Amanzi,Urban,890,0,
shared_tap,Rural,Sokoto,Rural,2716,29,
well,Lusaka,Akatsi,Urban,286,0,Contaminated: Biological
well,Rural,Kilimani,Rural,180,0,Contaminated: Biological
well,Rural,Akatsi,Rural,260,0,Clean
shared_tap,Rural,Sokoto,Rural,1422,22,
tap_in_home_broken,Harare,Kilimani,Urban,428,0,
tap_in_home,Kintampo,Akatsi,Urban,578,0,
shared_tap,Rural,Sokoto,Rural,212,38,
river,Cheche,Sokoto,Urban,584,8,
shared_tap,Rural,Kilimani,Rural,1358,121,
shared_tap,Zanzibar,Hawassa,Urban,1542,134,
river,Isiqalo,Kilimani,Urban,478,16,
well,Rural,Akatsi,Rural,366,0,Contaminated: Chemical
river,Amina,Amanzi,Urban,826,10,
well,Rural,Kilimani,Rural,262,0,Contaminated: Biological
tap_in_home_broken,Rural,Sokoto,Rural,838,0,
well,Bahari,Sokoto,Urban,382,0,Contaminated: Chemical
river,Rural,Akatsi,Rural,784,8,
river,Zuri,Kilimani,Urban,490,18,
well,Rural,Kilimani,Rural,276,0,Contaminated: Chemical
tap_in_home_broken,Rural,Amanzi,Rural,390,0,
tap_in_home_broken,Mrembo,Kilimani,Urban,858,0,
tap_in_home,Rural,Akatsi,Rural,570,0,
tap_in_home,Rural,Akatsi,Rural,484,0,
tap_in_home,Dahabu,Amanzi,Urban,710,0,
well,Rural,Hawassa,Rural,386,0,Contaminated: Biological
tap_in_home,Rural,Amanzi,Rural,632,0,
shared_tap,Pwani,Amanzi,Urban,912,89,
well,Rural,Hawassa,Rural,298,0,Contaminated: Biological
tap_in_home,Rural,Hawassa,Rural,438,0,
river,Rural,Sokoto,Rural,424,15,
river,Rural,Sokoto,Rural,992,19,
well,Mrembo,Kilimani,Urban,190,0,Contaminated: Biological
well,Kofi,Sokoto,Urban,356,0,Contaminated: Chemical
well,Rural,Sokoto,Rural,304,0,Contaminated: Chemical
tap_in_home,Dahabu,Amanzi,Urban,720,0,
tap_in_home,Rural,Amanzi,Rural,484,0,
well,Deka,Hawassa,Urban,196,0,Contaminated: Biological
shared_tap,Rural,Hawassa,Rural,896,19,
well,Rural,Kilimani,Rural,294,0,Clean
shared_tap,Rural,Kilimani,Rural,1052,99,
well,Djenne,Hawassa,Urban,334,0,Contaminated: Chemical
river,Rural,Sokoto,Rural,940,11,
shared_tap,Abidjan,Amanzi,Urban,2286,26,
well,Amina,Amanzi,Urban,330,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,982,0,
well,Rural,Hawassa,Rural,394,0,Contaminated: Chemical
tap_in_home,Harare,Akatsi,Urban,856,0,
well,Rural,Hawassa,Rural,378,0,Contaminated: Biological
tap_in_home,Zuri,Kilimani,Urban,792,0,
shared_tap,Asmara,Amanzi,Urban,2088,25,
well,Rural,Akatsi,Rural,322,0,Clean
river,Rural,Kilimani,Rural,838,25,
tap_in_home,Rural,Amanzi,Rural,764,0,
shared_tap,Rural,Sokoto,Rural,1942,163,
tap_in_home_broken,Yaounde,Hawassa,Urban,838,0,
tap_in_home,Pwani,Amanzi,Urban,632,0,
well,Kintampo,Akatsi,Urban,296,0,Contaminated: Chemical
shared_tap,Rural,Sokoto,Rural,1182,21,
shared_tap,Rural,Akatsi,Rural,1970,25,
shared_tap,Kintampo,Akatsi,Urban,3692,240,
well,Rural,Akatsi,Rural,206,0,Clean
shared_tap,Rural,Akatsi,Rural,1882,24,
tap_in_home_broken,Rural,Amanzi,Rural,534,0,
river,Rural,Sokoto,Rural,816,27,
well,Ilanga,Sokoto,Urban,250,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,252,0,Clean
well,Abidjan,Amanzi,Urban,280,0,Contaminated: Biological
tap_in_home,Pwani,Amanzi,Urban,346,0,
shared_tap,Rural,Akatsi,Rural,1872,158,
tap_in_home,Abidjan,Amanzi,Urban,520,0,
tap_in_home_broken,Marang,Sokoto,Urban,542,0,
tap_in_home,Bahari,Sokoto,Urban,692,0,
tap_in_home,Rural,Hawassa,Rural,512,0,
tap_in_home_broken,Rural,Amanzi,Rural,860,0,
well,Rural,Akatsi,Rural,334,0,Contaminated: Chemical
tap_in_home,Rural,Akatsi,Rural,318,0,
tap_in_home,Rural,Akatsi,Rural,346,0,
well,Harare,Akatsi,Urban,390,0,Contaminated: Biological
tap_in_home,Rural,Amanzi,Rural,850,0,
tap_in_home,Rural,Hawassa,Rural,620,0,
tap_in_home_broken,Harare,Akatsi,Urban,914,0,
well,Marang,Sokoto,Urban,268,0,Contaminated: Chemical
well,Rural,Sokoto,Rural,206,0,Contaminated: Biological
well,Rural,Hawassa,Rural,204,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,258,0,Clean
tap_in_home,Abidjan,Amanzi,Urban,596,0,
tap_in_home,Harare,Kilimani,Urban,934,0,
tap_in_home_broken,Isiqalo,Kilimani,Urban,558,0,
tap_in_home_broken,Rural,Sokoto,Rural,744,0,
well,Rural,Hawassa,Rural,374,0,Contaminated: Chemical
tap_in_home,Rural,Amanzi,Rural,782,0,
tap_in_home_broken,Rural,Amanzi,Rural,646,0,
well,Rural,Sokoto,Rural,172,0,Contaminated: Biological
tap_in_home,Rural,Amanzi,Rural,582,0,
well,Serowe,Hawassa,Urban,236,0,Clean
well,Rural,Akatsi,Rural,264,0,Clean
well,Rural,Kilimani,Rural,304,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,208,0,Contaminated: Biological
shared_tap,Amina,Amanzi,Urban,1178,108,
well,Kofi,Sokoto,Urban,266,0,Clean
well,Rural,Akatsi,Rural,396,0,Clean
well,Rural,Akatsi,Rural,170,0,Contaminated: Chemical
tap_in_home_broken,Ilanga,Sokoto,Urban,582,0,
shared_tap,Pwani,Amanzi,Urban,798,19,
well,Rural,Amanzi,Rural,326,0,Contaminated: Chemical
river,Asmara,Amanzi,Urban,410,26,
tap_in_home_broken,Lusaka,Akatsi,Urban,688,0,
well,Bahari,Sokoto,Urban,396,0,Contaminated: Chemical
tap_in_home,Cheche,Sokoto,Urban,570,0,
well,Isiqalo,Kilimani,Urban,382,0,Contaminated: Biological
shared_tap,Rural,Sokoto,Rural,1680,23,
well,Rural,Sokoto,Rural,214,0,Clean
shared_tap,Rural,Akatsi,Rural,1568,23,
shared_tap,Asmara,Amanzi,Urban,1882,24,
shared_tap,Zuri,Kilimani,Urban,1940,25,
well,Rural,Akatsi,Rural,206,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,282,0,Contaminated: Biological
shared_tap,Rural,Sokoto,Rural,238,16,
well,Isiqalo,Kilimani,Urban,340,0,Contaminated: Chemical
tap_in_home,Rural,Kilimani,Rural,618,0,
tap_in_home_broken,Bahari,Sokoto,Urban,892,0,
river,Bahari,Sokoto,Urban,556,26,
tap_in_home,Rural,Amanzi,Rural,820,0,
well,Rural,Akatsi,Rural,390,0,Clean
tap_in_home,Rural,Amanzi,Rural,440,0,
tap_in_home,Majengo,Sokoto,Urban,390,0,
tap_in_home,Kofi,Sokoto,Urban,434,0,
tap_in_home,Rural,Amanzi,Rural,858,0,
tap_in_home_broken,Kintampo,Akatsi,Urban,988,0,
river,Rural,Akatsi,Rural,722,15,
well,Djenne,Hawassa,Urban,174,0,Contaminated: Chemical
well,Rural,Sokoto,Rural,222,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,334,0,Contaminated: Chemical
shared_tap,Bello,Amanzi,Urban,1592,23,
well,Lusaka,Akatsi,Urban,176,0,Clean
tap_in_home_broken,Amina,Amanzi,Urban,906,0,
well,Rural,Kilimani,Rural,394,0,Contaminated: Biological
well,Rural,Akatsi,Rural,198,0,Contaminated: Chemical
tap_in_home_broken,Asmara,Amanzi,Urban,610,0,
tap_in_home,Isiqalo,Kilimani,Urban,730,0,
tap_in_home_broken,Lusaka,Akatsi,Urban,826,0,
well,Rural,Amanzi,Rural,182,0,Contaminated: Chemical
tap_in_home,Kintampo,Akatsi,Urban,620,0,
well,Yaounde,Hawassa,Urban,208,0,Contaminated: Chemical
well,Rural,Sokoto,Rural,160,0,Contaminated: Chemical
shared_tap,Rural,Sokoto,Rural,612,18,
well,Rural,Sokoto,Rural,258,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,252,0,Contaminated: Biological
well,Rural,Akatsi,Rural,292,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,390,0,Contaminated: Biological
well,Rural,Amanzi,Rural,310,0,Clean
well,Kintampo,Akatsi,Urban,212,0,Contaminated: Chemical
shared_tap,Rural,Kilimani,Rural,3430,30,
shared_tap,Zuri,Kilimani,Urban,762,18,
river,Zuri,Kilimani,Urban,406,6,
tap_in_home,Harare,Kilimani,Urban,612,0,
well,Bahari,Sokoto,Urban,372,0,Contaminated: Chemical
well,Lusaka,Akatsi,Urban,176,0,Clean
well,Amara,Kilimani,Urban,268,0,Clean
tap_in_home_broken,Rural,Akatsi,Rural,662,0,
river,Kofi,Sokoto,Urban,770,25,
well,Abidjan,Amanzi,Urban,342,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,304,0,Contaminated: Chemical
river,Rural,Kilimani,Rural,726,16,
tap_in_home_broken,Rural,Amanzi,Rural,394,0,
tap_in_home_broken,Abidjan,Amanzi,Urban,852,0,
well,Rural,Hawassa,Rural,176,0,Contaminated: Chemical
tap_in_home_broken,Amina,Amanzi,Urban,324,0,
well,Rural,Akatsi,Rural,398,0,Contaminated: Chemical
tap_in_home_broken,Rural,Akatsi,Rural,776,0,
tap_in_home_broken,Kintampo,Akatsi,Urban,816,0,
river,Rural,Kilimani,Rural,794,6,
shared_tap,Rural,Hawassa,Rural,2182,181,
well,Zanzibar,Hawassa,Urban,268,0,Contaminated: Chemical
tap_in_home,Abidjan,Amanzi,Urban,856,0,
well,Rural,Kilimani,Rural,206,0,Contaminated: Biological
well,Rural,Kilimani,Rural,364,0,Contaminated: Biological
tap_in_home,Rural,Hawassa,Rural,626,0,
tap_in_home_broken,Bello,Amanzi,Urban,832,0,
well,Rural,Akatsi,Rural,388,0,Contaminated: Chemical
tap_in_home_broken,Rural,Hawassa,Rural,982,0,
river,Rural,Akatsi,Rural,980,13,
well,Rural,Akatsi,Rural,382,0,Contaminated: Chemical
tap_in_home,Kintampo,Akatsi,Urban,698,0,
well,Djenne,Hawassa,Urban,298,0,Contaminated: Biological
well,Rural,Sokoto,Rural,254,0,Contaminated: Biological
tap_in_home_broken,Ilanga,Sokoto,Urban,814,0,
well,Isiqalo,Kilimani,Urban,182,0,Clean
shared_tap,Rural,Akatsi,Rural,708,74,
tap_in_home,Rural,Akatsi,Rural,362,0,
well,Rural,Kilimani,Rural,398,0,Clean
shared_tap,Rural,Sokoto,Rural,2772,29,
river,Rural,Sokoto,Rural,482,7,
river,Rural,Sokoto,Rural,834,5,
tap_in_home,Ilanga,Sokoto,Urban,610,0,
river,Serowe,Hawassa,Urban,448,23,
tap_in_home_broken,Lusaka,Akatsi,Urban,448,0,
well,Rural,Kilimani,Rural,272,0,Contaminated: Biological
tap_in_home_broken,Abidjan,Amanzi,Urban,364,0,
well,Rural,Hawassa,Rural,274,0,Contaminated: Chemical
tap_in_home,Rural,Amanzi,Rural,496,0,
shared_tap,Rural,Akatsi,Rural,3374,30,
river,Majengo,Sokoto,Urban,586,9,
river,Rural,Sokoto,Rural,900,21,
well,Harare,Kilimani,Urban,254,0,Clean
tap_in_home_broken,Rural,Kilimani,Rural,470,0,
tap_in_home_broken,Amina,Amanzi,Urban,548,0,
well,Rural,Kilimani,Rural,326,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,268,0,Contaminated: Biological
shared_tap,Bello,Amanzi,Urban,1684,145,
shared_tap,Rural,Sokoto,Rural,3148,30,
shared_tap,Ilanga,Sokoto,Urban,1474,22,
well,Rural,Akatsi,Rural,328,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,292,0,Contaminated: Chemical
tap_in_home,Rural,Sokoto,Rural,314,0,
river,Rural,Kilimani,Rural,594,17,
tap_in_home,Kofi,Sokoto,Urban,914,0,
shared_tap,Rural,Kilimani,Rural,2880,29,
well,Rural,Akatsi,Rural,236,0,Contaminated: Chemical
well,Amina,Hawassa,Urban,198,0,Contaminated: Biological
tap_in_home,Cheche,Sokoto,Urban,814,0,
well,Rural,Sokoto,Rural,194,0,Clean
tap_in_home,Rural,Sokoto,Rural,664,0,
well,Majengo,Sokoto,Urban,282,0,Contaminated: Chemical
shared_tap,Rural,Akatsi,Rural,730,76,
tap_in_home_broken,Rural,Amanzi,Rural,664,0,
well,Rural,Kilimani,Rural,214,0,Contaminated: Chemical
shared_tap,Rural,Kilimani,Rural,2248,26,
well,Harare,Akatsi,Urban,314,0,Contaminated: Biological
tap_in_home_broken,Serowe,Hawassa,Urban,698,0,
well,Rural,Hawassa,Rural,164,0,Contaminated: Biological
well,Amina,Amanzi,Urban,390,0,Clean
tap_in_home,Kofi,Sokoto,Urban,560,0,
well,Rural,Amanzi,Rural,326,0,Contaminated: Biological
river,Lusaka,Akatsi,Urban,730,22,
river,Rural,Akatsi,Rural,504,11,
well,Rural,Akatsi,Rural,322,0,Clean
shared_tap,Harare,Akatsi,Urban,2944,236,
shared_tap,Zuri,Kilimani,Urban,456,56,
well,Kintampo,Akatsi,Urban,194,0,Contaminated: Biological
well,Djenne,Hawassa,Urban,194,0,Contaminated: Chemical
well,Cheche,Sokoto,Urban,238,0,Contaminated: Biological
well,Rural,Akatsi,Rural,308,0,Clean
tap_in_home,Isiqalo,Kilimani,Urban,450,0,
well,Lusaka,Akatsi,Urban,300,0,Contaminated: Biological
well,Rural,Akatsi,Rural,280,0,Clean
tap_in_home,Majengo,Sokoto,Urban,336,0,
well,Rural,Sokoto,Rural,394,0,Contaminated: Biological
shared_tap,Rural,Sokoto,Rural,2134,177,
river,Yaounde,Hawassa,Urban,832,11,
tap_in_home,Rural,Hawassa,Rural,750,0,
tap_in_home_broken,Rural,Kilimani,Rural,300,0,
well,Harare,Kilimani,Urban,346,0,Clean
tap_in_home,Rural,Hawassa,Rural,488,0,
well,Rural,Akatsi,Rural,198,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,372,0,Contaminated: Chemical
well,Rural,Sokoto,Rural,284,0,Clean
well,Rural,Sokoto,Rural,182,0,Contaminated: Biological
well,Rural,Hawassa,Rural,266,0,Contaminated: Chemical
shared_tap,Rural,Akatsi,Rural,2306,190,
well,Rural,Hawassa,Rural,334,0,Contaminated: Biological
tap_in_home,Dahabu,Amanzi,Urban,900,0,
shared_tap,Rural,Sokoto,Rural,1108,103,
shared_tap,Rural,Akatsi,Rural,1390,123,
shared_tap,Rural,Akatsi,Rural,542,62,
tap_in_home,Rural,Amanzi,Rural,588,0,
tap_in_home_broken,Rural,Kilimani,Rural,672,0,
shared_tap,Djenne,Hawassa,Urban,1870,158,
tap_in_home,Majengo,Sokoto,Urban,862,0,
well,Rural,Akatsi,Rural,212,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,364,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,276,0,Contaminated: Chemical
tap_in_home,Dahabu,Amanzi,Urban,926,0,
well,Rural,Hawassa,Rural,376,0,Contaminated: Biological
tap_in_home,Kintampo,Akatsi,Urban,976,0,
well,Rural,Sokoto,Rural,338,0,Clean
shared_tap,Rural,Akatsi,Rural,2240,185,
well,Kintampo,Akatsi,Urban,236,0,Clean
tap_in_home_broken,Rural,Hawassa,Rural,632,0,
well,Amara,Kilimani,Urban,206,0,Contaminated: Chemical
well,Amara,Kilimani,Urban,202,0,Contaminated: Chemical
tap_in_home_broken,Rural,Amanzi,Rural,468,0,
tap_in_home_broken,Rural,Hawassa,Rural,940,0,
tap_in_home,Harare,Akatsi,Urban,722,0,
river,Rural,Sokoto,Rural,834,17,
tap_in_home,Serowe,Hawassa,Urban,894,0,
tap_in_home,Dahabu,Amanzi,Urban,600,0,
well,Lusaka,Akatsi,Urban,302,0,Clean
well,Rural,Akatsi,Rural,312,0,Clean
well,Bahari,Sokoto,Urban,208,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,396,0,Contaminated: Biological
tap_in_home,Cheche,Sokoto,Urban,812,0,
tap_in_home,Rural,Amanzi,Rural,380,0,
well,Rural,Kilimani,Rural,344,0,Contaminated: Chemical
shared_tap,Isiqalo,Kilimani,Urban,814,19,
tap_in_home,Rural,Hawassa,Rural,640,0,
tap_in_home_broken,Rural,Kilimani,Rural,892,0,
well,Rural,Hawassa,Rural,364,0,Contaminated: Biological
tap_in_home_broken,Rural,Amanzi,Rural,806,0,
well,Rural,Akatsi,Rural,216,0,Clean
tap_in_home,Rural,Akatsi,Rural,666,0,
well,Rural,Kilimani,Rural,196,0,Contaminated: Biological
well,Rural,Sokoto,Rural,242,0,Clean
tap_in_home,Pwani,Amanzi,Urban,654,0,
well,Rural,Sokoto,Rural,216,0,Contaminated: Biological
tap_in_home_broken,Rural,Sokoto,Rural,690,0,
well,Rural,Hawassa,Rural,194,0,Contaminated: Biological
tap_in_home_broken,Rural,Hawassa,Rural,432,0,
tap_in_home,Rural,Amanzi,Rural,304,0,
shared_tap,Deka,Hawassa,Urban,2374,195,
tap_in_home_broken,Rural,Hawassa,Rural,772,0,
tap_in_home_broken,Rural,Hawassa,Rural,624,0,
well,Rural,Akatsi,Rural,176,0,Clean
well,Rural,Hawassa,Rural,270,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,218,0,Contaminated: Biological
river,Rural,Amanzi,Rural,784,17,
well,Rural,Kilimani,Rural,318,0,Contaminated: Chemical
river,Majengo,Sokoto,Urban,962,10,
well,Rural,Amanzi,Rural,202,0,Clean
river,Rural,Akatsi,Rural,914,6,
well,Amina,Hawassa,Urban,192,0,Contaminated: Biological
well,Bahari,Sokoto,Urban,310,0,Contaminated: Biological
shared_tap,Pwani,Amanzi,Urban,3774,240,
well,Rural,Sokoto,Rural,206,0,Contaminated: Biological
tap_in_home_broken,Pwani,Amanzi,Urban,404,0,
